samples	class0	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	class17	class18	class19
11	0.00000000	382.29755418	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
13	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000332	0.00000000	0.00003356	31.73390449	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15	0.00000000	0.00022664	0.00000000	0.00000000	0.10683966	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00003652	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
17	0.46025771	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000008	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
21	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	489.26252716	0.00000000	0.00000000	0.00000000	0.00051587	0.00000000	0.00000000	0.00000000	0.00000019	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
25	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	211.97948191	0.00000000	0.00000000	0.00011410	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
28	0.00000000	0.00000000	0.00000000	0.00000000	0.38454653	0.00000033	0.00000000	0.00000000	0.00000002	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
31	0.00000000	0.00723988	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
39	0.00000000	0.00000000	0.00000000	0.00000000	1.28394135	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
48	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	188.82708461	0.00000000
49	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	3.57921000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000011	0.00000000
54	0.00000000	0.00000000	0.00000000	0.00000000	0.00000101	5054.10378495	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000146	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
57	0.00000000	0.00044308	0.00000000	0.00000000	0.05242344	0.00000000	0.00190469	0.00000001	0.00000000	0.00000000	0.00000000	0.00000465	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
63	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000029	0.00000000	0.96803945	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	30.76283217	0.00000000	0.00000000	0.00000000
65	0.31167753	0.00000000	0.00000000	0.00000000	0.00513987	0.00000000	0.00000000	0.00000000	0.00000000	0.00002076	0.00000000	0.00000000	0.00000000	0.00000000	0.15417249	0.00000000	0.00000010	0.00000000	0.00000000	0.00000000
69	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000686	0.00000000	0.00000000	0.00000000	0.00000003	0.00000000	0.00000000	0.00000000	0.00000000	0.19976685	0.00000000
71	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	287530.45446557	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
72	0.00000000	0.00000000	0.00000000	0.00000000	0.39417682	0.00000000	0.00223534	0.00000000	0.00000000	0.00000000	0.00000000	0.00001901	0.00000000	0.00000230	1.00861527	0.00000000	0.00000000	0.00000000	0.00000000	0.08095517
74	10.40183351	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000012	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
75	0.00000001	0.00000000	3.66344773	0.00000000	0.00000000	0.00000000	0.00001925	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
78	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	514145.61350725	0.00000000	0.00000000
8	0.00000000	0.00000000	0.00000000	20.57272110	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
87	0.00000000	0.00000000	0.00000000	0.00000000	0.02650335	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	5.30362278	0.00000000	0.00000000	0.00000000
88	0.00000000	0.00000000	0.00000000	0.00000000	0.10384169	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000444	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.46056463
90	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.95634232
