STEP	ISD
0	403119.83922237
1	258779.12326928
2	215415.32233023
3	202391.52797037
4	195850.20065967
5	189633.85391343
6	181889.70522301
7	171683.59176508
8	158703.38644608
9	143544.38940375
10	127620.35161881
11	113008.34233110
12	100670.80359398
13	90684.20392655
14	82834.58619013
15	76646.30044414
16	71829.10259087
17	67991.93592202
18	64871.17086515
19	62291.15775137
20	60206.68671851
21	58491.35142209
22	57080.05949848
23	55918.94513428
24	54954.35521318
25	54156.97894241
26	53488.54385859
27	52921.08334483
28	52425.73748640
29	51987.14577770
30	51582.70029442
31	51211.88971128
32	50880.00923585
33	50572.98820471
34	50280.49717847
35	49995.03917627
36	49703.54903576
37	49410.38548523
38	49146.29267995
39	48923.02074186
40	48728.30498857
41	48551.32037203
42	48392.66142053
43	48248.01689876
44	48114.20194477
45	47990.86603755
46	47874.67842214
47	47762.72570742
48	47656.22194102
49	47555.96955687
50	47459.84651397
51	47366.29622950
52	47272.80799372
53	47179.08230776
54	47093.93176526
55	47020.50884548
56	46952.61769380
57	46884.80823913
58	46823.95221338
59	46766.20955807
60	46711.72460712
61	46657.72632322
62	46603.50879545
63	46553.91550681
64	46502.95141982
65	46454.38253459
66	46406.45948352
67	46361.97431483
68	46318.20515274
69	46280.34568950
70	46251.33859049
71	46227.70674944
72	46208.86636842
73	46191.68159666
74	46175.70382964
75	46160.66307475
76	46146.40762813
77	46132.78392931
78	46119.53650988
79	46106.59576471
80	46093.37406904
81	46079.00807809
82	46062.82073499
83	46045.42660282
84	46028.84968139
85	46013.29338736
86	45996.59141289
87	45977.39825752
88	45955.77906524
89	45928.68449894
90	45917.97317849
91	45910.54207148
92	45904.27702868
93	45898.22078640
94	45892.92268156
95	45887.79641671
96	45882.78224736
97	45877.80702458
98	45872.80982090
99	45867.66585231
100	45862.14168483
101	45856.00689082
102	45849.27341981
103	45841.78293441
104	45833.50845643
105	45824.59644823
106	45815.03566891
107	45804.35867924
108	45794.80662423
109	45786.45882519
110	45777.55779692
111	45766.83056581
112	45752.51831644
113	45734.02201833
114	45705.84528352
115	45683.64188742
116	45668.14515815
117	45654.17578011
118	45639.96552567
119	45628.34850302
120	45613.89849083
121	45609.45062772
122	45606.07760127
123	45602.65447316
124	45598.33315738
125	45592.52589921
126	45585.34607006
127	45578.98858042
128	45573.95305989
129	45570.02083139
130	45567.16570760
131	45564.98536988
132	45563.11729449
133	45561.38722783
134	45559.73991252
135	45558.14642263
136	45556.58841724
137	45555.05439866
138	45553.52562257
139	45551.96490882
140	45550.31674910
141	45548.48184792
142	45546.31329526
143	45543.63072095
144	45540.27787474
145	45536.22277138
146	45531.79699653
147	45527.25088369
148	45521.96956128
149	45518.63364625
150	45516.65778167
151	45515.25475099
152	45514.06875234
153	45512.85623697
154	45511.85779053
155	45510.87939414
156	45509.92292944
157	45508.98633099
158	45508.06918529
159	45507.16990294
160	45506.29155478
161	45505.43308103
162	45504.59278995
163	45503.77462300
164	45502.97666955
165	45502.19799005
166	45501.43581301
167	45500.69102266
168	45499.95909326
169	45499.23761345
170	45498.51939102
171	45497.79895842
172	45497.06188798
173	45496.29179473
174	45495.45723128
175	45494.53001689
176	45493.48357657
177	45492.35936256
178	45491.29507382
179	45490.42221080
180	45489.72468100
181	45489.12359157
182	45488.56839236
